route_id,vehicle_id,vehicle_type_id,stop_seq,customer_id,service_unit_ids,delivered_weight,delivered_volume,customer_tw_start,customer_tw_start_time,customer_tw_end,customer_tw_end_time,arrival_min,arrival_time,service_start_min,service_start_time,leave_min,leave_time,waiting_minutes,late_minutes
S0014,T4_009,4,1,59,"[""C059_S009_OF_012"", ""C059_S010_OF_012"", ""C059_S011_OF_012"", ""C059_S012_OF_012""]",2940.488171,7.748357,675,11:15:00,759,12:39:00,692.483325,11:32:29,692.483325,11:32:29,712.483325,11:52:29,0.0,0.0
S0015,T1_018,1,1,6,"[""C006_S001_OF_006""]",745.6072,1.9972,706,11:46:00,779,12:59:00,779.866128,12:59:52,779.866128,12:59:52,799.866128,13:19:52,0.0,0.866128
S0015,T1_018,1,2,3,"[""C003_S001_OF_001""]",235.0181,0.70348,873,14:33:00,921,15:21:00,803.498019,13:23:30,873.0,14:33:00,893.0,14:53:00,69.501981,0.0
S0015,T1_018,1,3,84,"[""C084_S001_OF_003"", ""C084_S002_OF_003"", ""C084_S003_OF_003""]",1605.2619,4.36803,974,16:14:00,1029,17:09:00,960.227402,16:00:14,974.0,16:14:00,994.0,16:34:00,13.772598,0.0
S0015,T1_018,1,4,90,"[""C090_S001_OF_001""]",100.6088,0.22653,830,13:50:00,909,15:09:00,1010.848321,16:50:51,1010.848321,16:50:51,1030.848321,17:10:51,0.0,101.848321
S0016,T4_007,4,1,5,"[""C005_S001_OF_001""]",731.6005,2.31239,1168,19:28:00,1226,20:26:00,1182.917812,19:42:55,1182.917812,19:42:55,1202.917812,20:02:55,0.0,0.0
S0016,T4_007,4,2,50,"[""C050_S001_OF_011"", ""C050_S002_OF_011"", ""C050_S003_OF_011""]",2168.811845,5.895324,1209,20:09:00,1258,20:58:00,1242.359393,20:42:22,1242.359393,20:42:22,1262.359393,21:02:22,0.0,0.0
S0017,T1_011,1,1,50,"[""C050_S004_OF_011"", ""C050_S005_OF_011"", ""C050_S006_OF_011"", ""C050_S007_OF_011""]",2891.749127,7.860432,1209,20:09:00,1258,20:58:00,1229.476683,20:29:29,1229.476683,20:29:29,1249.476683,20:49:29,0.0,0.0
S0018,T1_005,1,1,50,"[""C050_S008_OF_011"", ""C050_S009_OF_011"", ""C050_S010_OF_011"", ""C050_S011_OF_011""]",2891.749127,7.860432,1209,20:09:00,1258,20:58:00,1208.476683,20:08:29,1209.0,20:09:00,1229.0,20:29:00,0.523317,0.0
S0018,T1_005,1,2,19,"[""C019_S001_OF_001""]",9.3722,0.07403,1155,19:15:00,1228,20:28:00,1253.788927,20:53:47,1253.788927,20:53:47,1273.788927,21:13:47,0.0,25.788927
S0020,T1_020,1,1,10,"[""C010_S003_OF_006"", ""C010_S004_OF_006"", ""C010_S005_OF_006"", ""C010_S006_OF_006""]",2506.656667,9.704993,1180,19:40:00,1229,20:29:00,1193.285848,19:53:17,1193.285848,19:53:17,1213.285848,20:13:17,0.0,0.0
S0022,T1_014,1,1,6,"[""C006_S003_OF_006"", ""C006_S004_OF_006"", ""C006_S005_OF_006"", ""C006_S006_OF_006""]",2982.4288,7.9888,706,11:46:00,779,12:59:00,707.62123,11:47:37,707.62123,11:47:37,727.62123,12:07:37,0.0,0.0
S0023,T1_005,1,1,42,"[""C042_S001_OF_009"", ""C042_S002_OF_009"", ""C042_S003_OF_009"", ""C042_S004_OF_009""]",2825.134568,6.834316,614,10:14:00,681,11:21:00,679.491271,11:19:29,679.491271,11:19:29,699.491271,11:39:29,0.0,0.0
S0024,T1_006,1,1,42,"[""C042_S005_OF_009"", ""C042_S006_OF_009"", ""C042_S007_OF_009"", ""C042_S008_OF_009""]",2825.134568,6.834316,614,10:14:00,681,11:21:00,679.491271,11:19:29,679.491271,11:19:29,699.491271,11:39:29,0.0,0.0
S0025,T1_007,1,1,42,"[""C042_S009_OF_009""]",706.283642,1.708579,614,10:14:00,681,11:21:00,681.053418,11:21:03,681.053418,11:21:03,701.053418,11:41:03,0.0,0.053418
S0025,T1_007,1,2,52,"[""C052_S001_OF_009"", ""C052_S002_OF_009"", ""C052_S003_OF_009""]",2241.139334,5.733521,905,15:05:00,992,16:32:00,710.268079,11:50:16,905.0,15:05:00,925.0,15:25:00,194.731921,0.0
S0026,T1_016,1,1,52,"[""C052_S004_OF_009"", ""C052_S005_OF_009"", ""C052_S006_OF_009"", ""C052_S007_OF_009""]",2988.185779,7.644695,905,15:05:00,992,16:32:00,905.716564,15:05:43,905.716564,15:05:43,925.716564,15:25:43,0.0,0.0
S0027,T1_015,1,1,52,"[""C052_S008_OF_009"", ""C052_S009_OF_009""]",1494.092889,3.822348,905,15:05:00,992,16:32:00,904.154417,15:04:09,905.0,15:05:00,925.0,15:25:00,0.845583,0.0
S0027,T1_015,1,2,33,"[""C033_S001_OF_001""]",527.2666,1.37982,646,10:46:00,731,12:11:00,934.78859,15:34:47,934.78859,15:34:47,954.78859,15:54:47,0.0,203.78859
S0027,T1_015,1,3,95,"[""C095_S001_OF_001""]",109.35,0.29746,865,14:25:00,934,15:34:00,990.069135,16:30:04,990.069135,16:30:04,1010.069135,16:50:04,0.0,56.069135
S0027,T1_015,1,4,26,"[""C026_S001_OF_001""]",45.8132,0.1362,950,15:50:00,1032,17:12:00,1017.277159,16:57:17,1017.277159,16:57:17,1037.277159,17:17:17,0.0,0.0
S0027,T1_015,1,5,27,"[""C027_S001_OF_005""]",646.72082,1.527942,1071,17:51:00,1147,19:07:00,1043.14591,17:23:09,1071.0,17:51:00,1091.0,18:11:00,27.85409,0.0
S0028,T1_032,1,1,27,"[""C027_S002_OF_005"", ""C027_S003_OF_005"", ""C027_S004_OF_005"", ""C027_S005_OF_005""]",2586.88328,6.111768,1071,17:51:00,1147,19:07:00,1143.888128,19:03:53,1143.888128,19:03:53,1163.888128,19:23:53,0.0,0.0
S0028,T1_032,1,2,34,"[""C034_S001_OF_001""]",364.0498,1.5211,1135,18:55:00,1208,20:08:00,1206.048537,20:06:03,1206.048537,20:06:03,1226.048537,20:26:03,0.0,0.0
S0029,T1_002,1,1,93,"[""C093_S001_OF_001""]",97.6961,0.33417,772,12:52:00,854,14:14:00,760.375185,12:40:23,772.0,12:52:00,792.0,13:12:00,11.624815,0.0
S0029,T1_002,1,2,35,"[""C035_S001_OF_003"", ""C035_S002_OF_003"", ""C035_S003_OF_003""]",1692.5786,3.88436,569,09:29:00,652,10:52:00,797.636003,13:17:38,797.636003,13:17:38,817.636003,13:37:38,0.0,145.636003
S0029,T1_002,1,3,61,"[""C061_S001_OF_009""]",668.2295,2.0888,737,12:17:00,823,13:43:00,829.277323,13:49:17,829.277323,13:49:17,849.277323,14:09:17,0.0,6.277323
S0030,T1_010,1,1,61,"[""C061_S002_OF_009"", ""C061_S003_OF_009"", ""C061_S004_OF_009"", ""C061_S005_OF_009""]",2672.918,8.3552,737,12:17:00,823,13:43:00,822.611388,13:42:37,822.611388,13:42:37,842.611388,14:02:37,0.0,0.0
S0031,T1_011,1,1,61,"[""C061_S006_OF_009"", ""C061_S007_OF_009"", ""C061_S008_OF_009"", ""C061_S009_OF_009""]",2672.918,8.3552,737,12:17:00,823,13:43:00,822.611388,13:42:37,822.611388,13:42:37,842.611388,14:02:37,0.0,0.0
S0032,T1_010,1,1,91,"[""C091_S001_OF_001""]",70.435,0.39102,1000,16:40:00,1079,17:59:00,1015.050555,16:55:03,1015.050555,16:55:03,1035.050555,17:15:03,0.0,0.0
S0032,T1_010,1,2,54,"[""C054_S001_OF_010"", ""C054_S002_OF_010"", ""C054_S003_OF_010""]",2226.183685,5.901876,1040,17:20:00,1124,18:44:00,1039.703085,17:19:42,1040.0,17:20:00,1060.0,17:40:00,0.296915,0.0
S0032,T1_010,1,3,31,"[""C031_S009_OF_010""]",677.16208,1.544527,1009,16:49:00,1066,17:46:00,1109.414986,18:29:25,1109.414986,18:29:25,1129.414986,18:49:25,0.0,43.414986
S0033,T1_006,1,1,54,"[""C054_S004_OF_010"", ""C054_S005_OF_010"", ""C054_S006_OF_010"", ""C054_S007_OF_010""]",2968.244913,7.869168,1040,17:20:00,1124,18:44:00,1047.269168,17:27:16,1047.269168,17:27:16,1067.269168,17:47:16,0.0,0.0
S0034,T1_028,1,1,54,"[""C054_S008_OF_010"", ""C054_S009_OF_010"", ""C054_S010_OF_010""]",2226.183685,5.901876,1040,17:20:00,1124,18:44:00,1122.890637,18:42:53,1122.890637,18:42:53,1142.890637,19:02:53,0.0,0.0
S0034,T1_028,1,2,77,"[""C077_S001_OF_003""]",656.088933,1.69894,1136,18:56:00,1217,20:17:00,1149.8659,19:09:52,1149.8659,19:09:52,1169.8659,19:29:52,0.0,0.0
S0035,T1_035,1,1,77,"[""C077_S002_OF_003"", ""C077_S003_OF_003""]",1312.177867,3.39788,1136,18:56:00,1217,20:17:00,1136.154058,18:56:09,1136.154058,18:56:09,1156.154058,19:16:09,0.0,0.0
S0035,T1_035,1,2,70,"[""C070_S001_OF_008"", ""C070_S002_OF_008""]",1418.66275,4.091432,696,11:36:00,755,12:35:00,1163.541864,19:23:33,1163.541864,19:23:33,1183.541864,19:43:33,0.0,408.541864
S0036,T4_001,4,1,70,"[""C070_S003_OF_008"", ""C070_S004_OF_008"", ""C070_S005_OF_008"", ""C070_S006_OF_008""]",2837.3255,8.182865,696,11:36:00,755,12:35:00,742.493489,12:22:30,742.493489,12:22:30,762.493489,12:42:30,0.0,0.0
S0037,T4_002,4,1,70,"[""C070_S007_OF_008"", ""C070_S008_OF_008""]",1418.66275,4.091432,696,11:36:00,755,12:35:00,754.493489,12:34:30,754.493489,12:34:30,774.493489,12:54:30,0.0,0.0
S0037,T4_002,4,2,39,"[""C039_S001_OF_006"", ""C039_S002_OF_006""]",1341.630533,3.335723,848,14:08:00,900,15:00:00,782.2569,13:02:15,848.0,14:08:00,868.0,14:28:00,65.7431,0.0
S0038,T4_003,4,1,39,"[""C039_S003_OF_006"", ""C039_S004_OF_006"", ""C039_S005_OF_006"", ""C039_S006_OF_006""]",2683.261067,6.671447,848,14:08:00,900,15:00:00,899.336002,14:59:20,899.336002,14:59:20,919.336002,15:19:20,0.0,0.0
S0038,T4_003,4,2,89,"[""C089_S001_OF_001""]",46.248,0.2733,971,16:11:00,1033,17:13:00,952.984562,15:52:59,971.0,16:11:00,991.0,16:31:00,18.015438,0.0
S0038,T4_003,4,3,98,"[""C098_S001_OF_001""]",25.5,0.0646,1158,19:18:00,1241,20:41:00,1045.745072,17:25:45,1158.0,19:18:00,1178.0,19:38:00,112.254928,0.0
S0039,T4_004,4,1,87,"[""C087_S001_OF_001""]",180.291,0.46473,678,11:18:00,762,12:42:00,689.537257,11:29:32,689.537257,11:29:32,709.537257,11:49:32,0.0,0.0
S0039,T4_004,4,2,46,"[""C046_S001_OF_005"", ""C046_S002_OF_005"", ""C046_S003_OF_005"", ""C046_S004_OF_005""]",2655.87176,8.709296,672,11:12:00,731,12:11:00,720.791536,12:00:47,720.791536,12:00:47,740.791536,12:20:47,0.0,0.0
S0040,T1_003,1,1,46,"[""C046_S005_OF_005""]",663.96794,2.177324,672,11:12:00,731,12:11:00,679.262309,11:19:16,679.262309,11:19:16,699.262309,11:39:16,0.0,0.0
S0040,T1_003,1,2,32,"[""C032_S001_OF_001""]",442.3342,1.12524,788,13:08:00,864,14:24:00,741.748395,12:21:45,788.0,13:08:00,808.0,13:28:00,46.251605,0.0
S0040,T1_003,1,3,78,"[""C078_S001_OF_003"", ""C078_S002_OF_003"", ""C078_S003_OF_003""]",1882.391,4.7241,1194,19:54:00,1255,20:55:00,838.838893,13:58:50,1194.0,19:54:00,1214.0,20:14:00,355.161107,0.0
S0042,T4_006,4,1,85,"[""C085_S001_OF_001""]",593.8303,1.42095,591,09:51:00,662,11:02:00,600.702157,10:00:42,600.702157,10:00:42,620.702157,10:20:42,0.0,0.0
S0042,T4_006,4,2,79,"[""C079_S001_OF_004"", ""C079_S002_OF_004"", ""C079_S003_OF_004"", ""C079_S004_OF_004""]",2315.13,7.36652,575,09:35:00,645,10:45:00,638.520998,10:38:31,638.520998,10:38:31,658.520998,10:58:31,0.0,0.0
S0043,T1_034,1,1,31,"[""C031_S001_OF_010"", ""C031_S002_OF_010"", ""C031_S003_OF_010"", ""C031_S004_OF_010""]",2708.64832,6.178108,1009,16:49:00,1066,17:46:00,1038.167034,17:18:10,1038.167034,17:18:10,1058.167034,17:38:10,0.0,0.0
S0044,T1_017,1,1,31,"[""C031_S005_OF_010"", ""C031_S006_OF_010"", ""C031_S007_OF_010"", ""C031_S008_OF_010""]",2708.64832,6.178108,1009,16:49:00,1066,17:46:00,1038.167034,17:18:10,1038.167034,17:18:10,1058.167034,17:38:10,0.0,0.0
S0046,T1_002,1,1,81,"[""C081_S001_OF_002"", ""C081_S002_OF_002""]",1343.6123,3.64803,1024,17:04:00,1088,18:08:00,1024.257217,17:04:15,1024.257217,17:04:15,1044.257217,17:24:15,0.0,0.0
S0046,T1_002,1,2,82,"[""C082_S001_OF_002"", ""C082_S002_OF_002""]",1493.082,4.67276,701,11:41:00,782,13:02:00,1050.395931,17:30:24,1050.395931,17:30:24,1070.395931,17:50:24,0.0,268.395931
S0047,T4_003,4,1,66,"[""C066_S001_OF_004"", ""C066_S002_OF_004"", ""C066_S003_OF_004"", ""C066_S004_OF_004""]",2817.255214,8.6796,550,09:10:00,633,10:33:00,592.0477,09:52:03,592.0477,09:52:03,612.0477,10:12:03,0.0,0.0
S0047,T4_003,4,2,16,"[""C016_S001_OF_001""]",85.2,0.1931,557,09:17:00,641,10:41:00,623.961137,10:23:58,623.961137,10:23:58,643.961137,10:43:58,0.0,0.0
S0048,T1_012,1,1,43,"[""C043_S001_OF_007"", ""C043_S002_OF_007"", ""C043_S003_OF_007"", ""C043_S004_OF_007""]",2892.331829,7.781074,1013,16:53:00,1097,18:17:00,1018.404301,16:58:24,1018.404301,16:58:24,1038.404301,17:18:24,0.0,0.0
S0049,T1_033,1,1,43,"[""C043_S005_OF_007"", ""C043_S006_OF_007"", ""C043_S007_OF_007""]",2169.248871,5.835806,1013,16:53:00,1097,18:17:00,1012.404301,16:52:24,1013.0,16:53:00,1033.0,17:13:00,0.595699,0.0
S0049,T1_033,1,2,45,"[""C045_S001_OF_008""]",724.9907,2.301671,937,15:37:00,996,16:36:00,1039.597003,17:19:36,1039.597003,17:19:36,1059.597003,17:39:36,0.0,43.597003
S0050,T4_007,4,1,45,"[""C045_S002_OF_008"", ""C045_S003_OF_008"", ""C045_S004_OF_008"", ""C045_S005_OF_008""]",2899.9628,9.206685,937,15:37:00,996,16:36:00,971.789547,16:11:47,971.789547,16:11:47,991.789547,16:31:47,0.0,0.0
S0051,T4_001,4,1,45,"[""C045_S006_OF_008"", ""C045_S007_OF_008"", ""C045_S008_OF_008""]",2174.9721,6.905014,937,15:37:00,996,16:36:00,995.789547,16:35:47,995.789547,16:35:47,1015.789547,16:55:47,0.0,0.0
S0051,T4_001,4,2,28,"[""C028_S001_OF_005""]",651.4623,1.59206,1167,19:27:00,1235,20:35:00,1024.105558,17:04:06,1167.0,19:27:00,1187.0,19:47:00,142.894442,0.0
S0052,T4_006,4,1,28,"[""C028_S002_OF_005"", ""C028_S003_OF_005"", ""C028_S004_OF_005"", ""C028_S005_OF_005""]",2605.8492,6.36824,1167,19:27:00,1235,20:35:00,1183.901538,19:43:54,1183.901538,19:43:54,1203.901538,20:03:54,0.0,0.0
S0053,T4_005,4,1,67,"[""C067_S001_OF_004"", ""C067_S002_OF_004"", ""C067_S003_OF_004"", ""C067_S004_OF_004""]",2875.596326,8.92494,1132,18:52:00,1216,20:16:00,1136.362952,18:56:22,1136.362952,18:56:22,1156.362952,19:16:22,0.0,0.0
S0054,T1_025,1,1,94,"[""C094_S001_OF_001""]",9.186,0.01795,763,12:43:00,837,13:57:00,835.487951,13:55:29,835.487951,13:55:29,855.487951,14:15:29,0.0,0.0
S0054,T1_025,1,2,56,"[""C056_S001_OF_010"", ""C056_S002_OF_010"", ""C056_S003_OF_010"", ""C056_S004_OF_010""]",2826.06436,7.091768,830,13:50:00,909,15:09:00,870.368986,14:30:22,870.368986,14:30:22,890.368986,14:50:22,0.0,0.0
S0055,T4_010,4,1,76,"[""C076_S001_OF_002""]",628.15085,2.033125,549,09:09:00,625,10:25:00,624.716364,10:24:43,624.716364,10:24:43,644.716364,10:44:43,0.0,0.0
S0055,T4_010,4,2,56,"[""C056_S005_OF_010"", ""C056_S006_OF_010"", ""C056_S007_OF_010""]",2119.54827,5.318826,830,13:50:00,909,15:09:00,790.856492,13:10:51,830.0,13:50:00,850.0,14:10:00,39.143508,0.0
S0056,T1_026,1,1,56,"[""C056_S008_OF_010"", ""C056_S009_OF_010"", ""C056_S010_OF_010""]",2119.54827,5.318826,830,13:50:00,909,15:09:00,867.28959,14:27:17,867.28959,14:27:17,887.28959,14:47:17,0.0,0.0
S0056,T1_026,1,2,75,"[""C075_S001_OF_005""]",603.48812,1.571504,865,14:25:00,945,15:45:00,909.496672,15:09:30,909.496672,15:09:30,929.496672,15:29:30,0.0,0.0
S0057,T1_032,1,1,75,"[""C075_S002_OF_005"", ""C075_S003_OF_005"", ""C075_S004_OF_005"", ""C075_S005_OF_005""]",2413.95248,6.286016,865,14:25:00,945,15:45:00,869.290571,14:29:17,869.290571,14:29:17,889.290571,14:49:17,0.0,0.0
S0058,T1_001,1,1,76,"[""C076_S002_OF_002""]",628.15085,2.033125,549,09:09:00,625,10:25:00,624.716364,10:24:43,624.716364,10:24:43,644.716364,10:44:43,0.0,0.0
S0058,T1_001,1,2,97,"[""C097_S001_OF_001""]",17.48,0.04201,822,13:42:00,911,15:11:00,646.657939,10:46:39,822.0,13:42:00,842.0,14:02:00,175.342061,0.0
S0058,T1_001,1,3,44,"[""C044_S001_OF_007"", ""C044_S002_OF_007"", ""C044_S003_OF_007""]",1950.989529,4.981727,1021,17:01:00,1109,18:29:00,860.255778,14:20:15,1021.0,17:01:00,1041.0,17:21:00,160.744222,0.0
S0059,T1_029,1,1,44,"[""C044_S004_OF_007"", ""C044_S005_OF_007"", ""C044_S006_OF_007"", ""C044_S007_OF_007""]",2601.319371,6.642303,1021,17:01:00,1109,18:29:00,1038.582882,17:18:35,1038.582882,17:18:35,1058.582882,17:38:35,0.0,0.0
S0060,T1_031,1,1,58,"[""C058_S001_OF_004"", ""C058_S002_OF_004"", ""C058_S003_OF_004"", ""C058_S004_OF_004""]",2933.964,9.925128,858,14:18:00,923,15:23:00,858.253275,14:18:15,858.253275,14:18:15,878.253275,14:38:15,0.0,0.0
S0061,T1_009,1,1,64,"[""C064_S001_OF_012"", ""C064_S002_OF_012"", ""C064_S003_OF_012"", ""C064_S004_OF_012""]",2949.9224,7.181253,849,14:09:00,905,15:05:00,904.052111,15:04:03,904.052111,15:04:03,924.052111,15:24:03,0.0,0.0
S0062,T1_033,1,1,64,"[""C064_S005_OF_012"", ""C064_S006_OF_012"", ""C064_S007_OF_012"", ""C064_S008_OF_012""]",2949.9224,7.181253,849,14:09:00,905,15:05:00,852.593937,14:12:36,852.593937,14:12:36,872.593937,14:32:36,0.0,0.0
S0063,T1_034,1,1,64,"[""C064_S009_OF_012"", ""C064_S010_OF_012"", ""C064_S011_OF_012"", ""C064_S012_OF_012""]",2949.9224,7.181253,849,14:09:00,905,15:05:00,852.593937,14:12:36,852.593937,14:12:36,872.593937,14:32:36,0.0,0.0
S0064,T4_005,4,1,37,"[""C037_S001_OF_001""]",564.949,1.8194,565,09:25:00,643,10:43:00,642.139965,10:42:08,642.139965,10:42:08,662.139965,11:02:08,0.0,0.0
S0064,T4_005,4,2,12,"[""C012_S001_OF_003"", ""C012_S002_OF_003"", ""C012_S003_OF_003""]",1726.8416,4.562324,895,14:55:00,950,15:50:00,810.936956,13:30:56,895.0,14:55:00,915.0,15:15:00,84.063044,0.0
S0064,T4_005,4,3,11,"[""C011_S001_OF_002""]",662.76505,2.18158,689,11:29:00,770,12:50:00,917.700603,15:17:42,917.700603,15:17:42,937.700603,15:37:42,0.0,147.700603
S0065,T1_009,1,1,11,"[""C011_S002_OF_002""]",662.76505,2.18158,689,11:29:00,770,12:50:00,687.886775,11:27:53,689.0,11:29:00,709.0,11:49:00,1.113225,0.0
S0065,T1_009,1,2,8,"[""C008_S001_OF_016"", ""C008_S002_OF_016"", ""C008_S003_OF_016""]",2212.805462,6.755066,649,10:49:00,707,11:47:00,752.35791,12:32:21,752.35791,12:32:21,772.35791,12:52:21,0.0,45.35791
S0066,T1_015,1,1,8,"[""C008_S004_OF_016"", ""C008_S005_OF_016"", ""C008_S006_OF_016"", ""C008_S007_OF_016""]",2950.407282,9.006755,649,10:49:00,707,11:47:00,689.978726,11:29:59,689.978726,11:29:59,709.978726,11:49:59,0.0,0.0
S0067,T1_016,1,1,8,"[""C008_S008_OF_016"", ""C008_S009_OF_016"", ""C008_S010_OF_016"", ""C008_S011_OF_016""]",2950.407282,9.006755,649,10:49:00,707,11:47:00,689.978726,11:29:59,689.978726,11:29:59,709.978726,11:49:59,0.0,0.0
S0068,T1_017,1,1,8,"[""C008_S012_OF_016"", ""C008_S013_OF_016"", ""C008_S014_OF_016"", ""C008_S015_OF_016""]",2950.407282,9.006755,649,10:49:00,707,11:47:00,689.978726,11:29:59,689.978726,11:29:59,709.978726,11:49:59,0.0,0.0
S0069,T1_012,1,1,8,"[""C008_S016_OF_016""]",737.601821,2.251689,649,10:49:00,707,11:47:00,660.978726,11:00:59,660.978726,11:00:59,680.978726,11:20:59,0.0,0.0
S0069,T1_012,1,2,9,"[""C009_S001_OF_004"", ""C009_S002_OF_004"", ""C009_S003_OF_004""]",1910.812449,4.98804,606,10:06:00,692,11:32:00,689.988178,11:29:59,689.988178,11:29:59,709.988178,11:49:59,0.0,0.0
S0070,T1_013,1,1,9,"[""C009_S004_OF_004""]",636.937483,1.66268,606,10:06:00,692,11:32:00,688.525276,11:28:32,688.525276,11:28:32,708.525276,11:48:32,0.0,0.0
S0070,T1_013,1,2,13,"[""C013_S001_OF_001""]",540.0868,1.27918,730,12:10:00,786,13:06:00,742.597736,12:22:36,742.597736,12:22:36,762.597736,12:42:36,0.0,0.0
S0070,T1_013,1,3,48,"[""C048_S001_OF_012"", ""C048_S002_OF_012""]",1433.121267,3.641583,966,16:06:00,1048,17:28:00,783.016089,13:03:01,966.0,16:06:00,986.0,16:26:00,182.983911,0.0
S0071,T4_008,4,1,48,"[""C048_S003_OF_012"", ""C048_S004_OF_012"", ""C048_S005_OF_012"", ""C048_S006_OF_012""]",2866.242533,7.283166,966,16:06:00,1048,17:28:00,966.641817,16:06:39,966.641817,16:06:39,986.641817,16:26:39,0.0,0.0
S0072,T4_009,4,1,48,"[""C048_S007_OF_012"", ""C048_S008_OF_012"", ""C048_S009_OF_012"", ""C048_S010_OF_012""]",2866.242533,7.283166,966,16:06:00,1048,17:28:00,966.641817,16:06:39,966.641817,16:06:39,986.641817,16:26:39,0.0,0.0
S0073,T1_020,1,1,48,"[""C048_S011_OF_012"", ""C048_S012_OF_012""]",1433.121267,3.641583,966,16:06:00,1048,17:28:00,966.641817,16:06:39,966.641817,16:06:39,986.641817,16:26:39,0.0,0.0
